continent,name,population
Africa,Angola,12878000
Africa,Burundi,6695000
Africa,Benin,6097000
Africa,Burkina Faso,11937000
Africa,Botswana,1622000
Africa,Central African Republic,3615000
Africa,Cote dIvoire,14786000
Africa,Cameroon,15085000
Africa,"Congo, The Democratic Republic of the",51654000
Africa,Congo,2943000
Africa,Comoros,578000
Africa,Cape Verde,428000
Africa,Djibouti,638000
Africa,Algeria,31471000
Africa,Egypt,68470000
Africa,Eritrea,3850000
Africa,Western Sahara,293000
Africa,Ethiopia,62565000
Africa,Gabon,1226000
Africa,Ghana,20212000
Africa,Guinea,7430000
Africa,Gambia,1305000
Africa,Guinea-Bissau,1213000
Africa,Equatorial Guinea,453000
Africa,British Indian Ocean Territory,0
Africa,Kenya,30080000
Africa,Liberia,3154000
Africa,Libyan Arab Jamahiriya,5605000
Africa,Lesotho,2153000
Africa,Morocco,28351000
Africa,Madagascar,15942000
Africa,Mali,11234000
Africa,Mozambique,19680000
Africa,Mauritania,2670000
Africa,Mauritius,1158000
Africa,Malawi,10925000
Africa,Mayotte,149000
Africa,Namibia,1726000
Africa,Niger,10730000
Africa,Nigeria,111506000
Africa,Reunion,699000
Africa,Rwanda,7733000
Africa,Sudan,29490000
Africa,Senegal,9481000
Africa,Saint Helena,6000
Africa,Sierra Leone,4854000
Africa,Somalia,10097000
Africa,Sao Tome and Principe,147000
Africa,Swaziland,1008000
Africa,Seychelles,77000
Africa,Chad,7651000
Africa,Togo,4629000
Africa,Tunisia,9586000
Africa,Tanzania,33517000
Africa,uganda,21778000
Africa,South Africa,40377000
Africa,Zambia,9169000
Africa,Zimbabwe,11669000
Asia,Afghanistan,22720000
Asia,united Arab Emirates,2441000
Asia,Armenia,3520000
Asia,Azerbaijan,7734000
Asia,Bangladesh,129155000
Asia,Bahrain,617000
Asia,Brunei,328000
Asia,Bhutan,2124000
Asia,China,1277558000
Asia,Cyprus,754700
Asia,Georgia,4968000
Asia,Hong Kong,6782000
Asia,Indonesia,212107000
Asia,India,1013662000
Asia,Iran,67702000
Asia,Iraq,23115000
Asia,Israel,6217000
Asia,Jordan,5083000
Asia,Japan,126714000
Asia,Kazakstan,16223000
Asia,Kyrgyzstan,4699000
Asia,Cambodia,11168000
Asia,South Korea,46844000
Asia,Kuwait,1972000
Asia,Laos,5433000
Asia,Lebanon,3282000
Asia,Sri Lanka,18827000
Asia,Macao,473000
Asia,Maldives,286000
Asia,Myanmar,45611000
Asia,Mongolia,2662000
Asia,Malaysia,22244000
Asia,Nepal,23930000
Asia,Oman,2542000
Asia,Pakistan,156483000
Asia,Philippines,75967000
Asia,North Korea,24039000
Asia,Palestine,3101000
Asia,Qatar,599000
Asia,Saudi Arabia,21607000
Asia,Singapore,3567000
Asia,Syria,16125000
Asia,Thailand,61399000
Asia,Tajikistan,6188000
Asia,Turkmenistan,4459000
Asia,East Timor,885000
Asia,Turkey,66591000
Asia,Taiwan,22256000
Asia,uzbekistan,24318000
Asia,Vietnam,79832000
Asia,Yemen,18112000
